x1,y1,f1,x2,y2,f2,fps
1362.0123544649718,573.8268239915739,3,1778.5710335625809,1002.9329583662591,72,15.122751584382218
935.2127438920879,685.0395601639565,3,1213.4739348451353,1057.9604762247382,57,15.122751584382218
1012.7288460020582,382.1636755322753,3,1821.0213348879042,1030.7449488969453,143,15.122751584382218
1037.139320741627,980.0268886610286,3,1076.0414536975868,1068.2879441492412,20,15.122751584382218
762.1040770872146,505.20449426712776,3,1076.1907893718965,1060.5101038352122,156,15.122751584382218
687.669302965003,430.42715079808755,3,1160.3559314761892,1075.3805815922397,120,15.122751584382218
586.1976388477138,362.6643513814072,3,606.8652110800508,372.59037715289406,11,15.122751584382218
344.2925399356677,326.19912461531896,4,1206.4967118945503,1050.3806789984444,254,15.122751584382218
345.85506276865266,326.5,5,1280.6825262848797,572.6511779186409,266,15.122751584382218
604.872723327608,378.1733528757492,10,1071.6888157742894,1028.791348176605,151,15.122751584382218
473.8372802366679,343.30005878535235,14,682.9579321089524,310.8837792167774,264,15.122751584382218
497.54429375616377,350.7408047730587,137,688.9337645127583,311.03147863329997,266,15.122751584382218
279.4061743858351,348.2631586438555,146,440.2989391297559,299.8884057368549,261,15.122751584382218
300.9260727969554,326.635264922743,171,452.3311616693266,299.6284498969579,266,15.122751584382218
194.4834727063735,281.1193637873026,193,194.6976345262632,281.10229298761334,241,15.122751584382218
487.8716587434883,344.593825614165,196,519.7344588436316,332.96575812703367,225,15.122751584382218
524.2959520623986,328.22044464687303,229,576.8989124376856,311.2209812780927,266,15.122751584382218
